Type,Value
3,17.198824088655407
0,17.24774388121621
1,20.034840409796654
9,11.549903206194443
6,17.883087933329186
7,12.683111234438906
8,15.53779320062694
5,19.68927578494615
4,15.979218325683094
2,12.380384667276266
3,17.198824088655407
0,17.24774388121621
1,20.034840409796654
9,11.549903206194443
6,17.883087933329186
7,12.683111234438906
8,15.53779320062694
5,19.68927578494615
4,15.77176694357733
2,12.380384667276266
4,15.979218325683094
3,17.198824088655407
0,17.24774388121621
1,20.034840409796654
9,11.549903206194443
6,17.883087933329186
7,12.683111234438906
8,14.652835209506511
5,19.68927578494615
2,12.380384667276266
8,17.310788303058818
4,14.84967803412852
6,13.605295169154598
3,13.789194037553134
0,15.917864332350016
2,14.576326047334849
5,19.584770110568826
7,16.127476067579433
1,18.78771235772609
9,17.981100126537637
8,8.302633354531407
3,17.498318894152114
4,20.06699112190818
5,11.346454590966365
1,17.592307067519325
6,17.58343027260952
7,18.560640996639616
9,18.356177962209074
2,16.129498906170372
0,16.175711347307026
6,18.643976445172736
2,21.288416025972804
5,14.169030753099104
8,14.117264419981764
7,19.965296472988594
4,15.195077328857892
1,15.091939459380328
0,18.086537746734244
9,16.145555291293363
3,18.638969376627767
6,17.02722940130371
7,15.322507565385203
8,15.945434691817976
4,20.512652039029213
3,17.757440644222932
9,19.8899898715727
5,16.814324736280355
1,18.59051053035731
0,17.04452909030202
2,16.61734319762112
9,16.153284973040844
3,17.55967056788588
4,20.214304000028438
0,21.612637717927054
5,17.996213734414294
2,17.804688742353747
7,15.594668674592064
6,12.543038288688267
8,15.482428651397003
1,17.540121862157278
6,21.64758491935422
8,10.30627840193175
9,20.083940565762894
7,13.051920382433936
0,15.400318353896825
4,18.22357224206252
2,13.739720105478549
3,18.819723375905706
1,17.367144529228717
5,13.2769589963261
1,14.21926636527719
4,21.95256254121175
9,20.567721651195875
5,15.826675849999654
3,12.6274068418494
6,18.166427021152828
8,16.24571494189011
2,10.150368007898562
0,18.004547227127357
7,14.883269464844005
8,12.908035955815757
2,18.965533830714193
7,18.73839585721394
1,16.252415446933128
5,15.80192164130155
0,14.205610364672257
3,13.920606763755988
6,13.786807870721914
9,19.454892300473574
4,10.790759685046444
3,14.3933571485858
9,14.756971280525132
8,17.282970513408813
5,19.43115587204333
7,12.250926957734237
0,19.3953532703708
2,20.030784386219235
4,22.85377408757518
6,17.50638198156796
1,15.15502416514987
2,0.561006453072087
